"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
605,"NCT04318444","Hydroxychloroquine Post Exposure Prophylaxis for Coronavirus Disease (COVID-19)",,"Recruiting","No Results Available","COVID-19|Corona Virus Infection","Drug: Hydroxychloroquine|Drug: Placebo oral tablet","Number of participants with symptomatic, lab-confirmed COVID-19.","Columbia University","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","1600","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","AAAS9676","March 29, 2020","March 2021","March 2022","March 24, 2020",,"April 27, 2020","Columbia University Irving Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04318444"
606,"NCT04409522","Evaluation of Therapeutic Effects of Melatonin by Inhibition of NLRP3 Inflammasome in COVID19 Patients",,"Recruiting","No Results Available","COVID-19","Drug: Melatonin|Drug: The usual treatment","Melatonin|Inflammatory cytokines|C-reactive protein (CRP)|Cough|Oxygen saturation of the blood|ESR|Radiological Treatment Response|Inflammatory route","Mohammad Sadegh Bagheri Baghdasht|Baqiyatallah Medical Sciences University","All","16 Years to 100 Years   (Child, Adult, Older Adult)","Not Applicable","55","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IR.BMSU.REC.1399.039","May 12, 2020","June 5, 2020","September 25, 2020","June 1, 2020",,"June 1, 2020","Mohammad Sadegh Bagheri Baghdasht, Tehran, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT04409522"
607,"NCT04447144","Nutritional Habits, and Coronavirus Disease 2019 (COVID-19) Outcome",,"Recruiting","No Results Available","Covid19|Chronic Inflammation|Non-Communicable Chronic Diseases",,"Western versus Mediterranean diet in COVID-19 outcome|Gut- Lung axis in COVID-19|Protective role of minerals and vitamins in COVID-19 patients|non-communicable diseases and COVID-19","Cairo University","All","18 Years to 80 Years   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","1003","June 1, 2020","August 1, 2020","September 1, 2020","June 25, 2020",,"June 30, 2020","Faculty of Medicine Cairo University, Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT04447144"
608,"NCT04382066","Proof of Concept Study to Evaluate the Safety Profile of Plitidepsin in Patients With COVID-19","APLICOV-PC","Recruiting","No Results Available","COVID-19","Drug: Plitidepsin 1.5 mg/day|Drug: Plitidepsin 2.0 mg/day|Drug: Plitidepsin 2.5 mg/day","Frequency of occurrence of Neutropenia ≥ grade 3|Frequency of occurrence of Thrombocytopenia ≥ grade 3|Frequency of occurrence of Anemia ≥ grade 3|Frequency of occurrence of Lymphopenia ≥ grade 3|Frequency of occurrence of CPK increase ≥ grade 3|Frequency of occurrence of Increase ALT and / or AST ≥ grade 3|Frequency of occurrence of Increase total bilirubin or direct bilirubin ≥ grade 3|Frequency of occurrence of Neurotoxicity ≥ grade 3|Frequency of occurrence of QT-QTc interval extension ≥ grade 3|Frequency of occurrence of Other adverse events ≥ grade 3|Percentage of patients in whom treatment cannot be completed.|Percentage of patients with adverse events.|Percentage of patients with serious adverse events.|Percentage of patients with ECG abnormalities.|Change in the viral load of SARS-CoV-2|Time to negative PCR test for COVID-19|Mortality|Percentage of patients requiring invasive mechanical ventilation and / or ICU admission|Percentage of patients requiring non-invasive mechanical ventilation|Percentage of patients requiring oxygen therapy","PharmaMar|Apices Soluciones S.L.","All","18 Years and older   (Adult, Older Adult)","Phase 1","27","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APL-D-002-20|2020-001993-31","May 12, 2020","November 2020","November 2020","May 11, 2020",,"July 2, 2020","Hospital Universitario Hm Montepríncipe, Boadilla Del Monte, Madrid, Spain|Hospital Germans Trias i Pujol, Badalona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Ciudad Real, Ciudad Real, Spain|Hospital Universitario de Getafe, Getafe, Spain|Hospital Universitario de Guadalajara, Guadalajara, Spain|Hospital La Princesa, Madrid, Spain|Hospital Gregorio Marañón, Madrid, Spain|Hospital Ramón Y Cajal, Madrid, Spain|Hospital Clínico San Carlos, Madrid, Spain|Hosptial Quironsalud Madrid, Madrid, Spain",,"https://ClinicalTrials.gov/show/NCT04382066"
609,"NCT04329923","The PATCH Trial (Prevention And Treatment of COVID-19 With Hydroxychloroquine)","PATCH","Recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine Sulfate 400 mg twice a day|Drug: Hydroxychloroquine Sulfate 600 mg twice a day|Drug: Hydroxychloroquine Sulfate 600 mg once a day|Drug: Placebo oral tablet","Median release from quarantine time|Rate of hospital discharge|Rate of infection|Rate of housemate infection|Rate of hospitalization|Cohort 1 adverse event rate|Time to condition appropriate for discharge|Rate of ICU admission|Time to PCR negativity|Cohort 2 adverse events|Scheduled shifts missed|Cohort 3 adverse events","Ravi Amaravadi, MD|University of Pennsylvania","All","18 Years and older   (Adult, Older Adult)","Phase 2","400","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","842838","April 9, 2020","April 1, 2021","December 1, 2021","April 1, 2020",,"April 28, 2020","University of Pennsylvania, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04329923"
610,"NCT04418518","A Trial of CONvalescent Plasma for Hospitalized Adults With Acute COVID-19 Respiratory Illness","CONCOR-1","Not yet recruiting","No Results Available","COVID-19","Biological: Convalescent plasma","Intubation or death in hospital|Need for Intubation|Time to intubation|Ventilator-free days|In-hospital death|Time to in-hospital death|Death at 30 days|Length of stay in intensive care unit (ICU)|Length of stay in hospital|Need for extracorpeal membrane oxygenation (ECMO)|Need for renal replacement therapy|Development of myocarditis|Adverse events and serious adverse events|CCP transfusion-associated adverse events (AE)","Weill Medical College of Cornell University|Hamilton Health Sciences Corporation","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 3","1200","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-04021981","June 2020","June 2021","December 2021","June 5, 2020",,"June 5, 2020","Weill Cornell Medicine, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04418518"
611,"NCT04361643","Low-dose Lenalidomide for Non-severe COVID-19 Treatment Trial","GETAFE","Not yet recruiting","No Results Available","COVID-19","Drug: Lenalidomide as a 5 mg capsule PO daily, days 1, 3, and 5.|Drug: Placebo","Clinical improvement|Immune-inflammatory improvement|Mortality","Hospital Universitario Getafe","All","60 Years and older   (Adult, Older Adult)","Phase 4","120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","COVID19-EC01","April 27, 2020","August 31, 2020","December 31, 2020","April 24, 2020",,"April 29, 2020","Hospital Universitario de Getafe, Getafe, Spain",,"https://ClinicalTrials.gov/show/NCT04361643"
612,"NCT04419571","Peri-Operative NLR in Emergency General Surgery During COVID-19 Pandemic",,"Active, not recruiting","No Results Available","COVID-19|Emergency General Surgery","Procedure: Emergency General Surgery","30-day mortality|7-day mortality|Number of participants returning to theatre|Length of stay|Post-operative respiratory failure|Post-operative ARDS|Post-operative sepsis|ITU/HDU admission","Barking, Havering and Redbridge University Hospitals NHS Trust","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","133196","March 23, 2020","June 2020","June 2020","June 5, 2020",,"June 9, 2020","Queen's Hospital, Romford, United Kingdom","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/71/NCT04419571/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04419571"
613,"NCT04359680","Trial to Evaluate the Efficacy and Safety of Nitazoxanide (NTZ) for Post Exposure Prophylaxis of COVID-19 and Other Viral Respiratory Illnesses (VRI) in Healthcare Workers",,"Recruiting","No Results Available","COVID-19|Viral Respiratory Illnesses","Drug: Nitazoxanide|Drug: Placebo|Dietary Supplement: Vitamin Super B-Complex","The proportion of subjects with symptomatic laboratory-confirmed COVID-19 identified after start of treatment and before the end of the 6-week treatment period.|The proportion of subjects with symptomatic laboratory-confirmed VRI identified after the start of treatment and before the end of the 6-week treatment period.","Romark Laboratories L.C.","All","18 Years to 120 Years   (Adult, Older Adult)","Phase 3","800","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","RM08-3007","May 13, 2020","August 31, 2020","August 31, 2020","April 24, 2020",,"June 4, 2020","Clinical Neuroscience Solutions, Inc., Orlando, Florida, United States|Integrative Clinical Trials LLC, Brooklyn, New York, United States|Centex Studies, Inc., Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04359680"
614,"NCT04323800","Convalescent Plasma to Stem Coronavirus (CSSC-001)","CSSC-001","Recruiting","No Results Available","Coronavirus|Convalescence","Biological: Anti- SARS-CoV-2 Plasma|Biological: SARS-CoV-2 non-immune Plasma","Cumulative incidence of composite outcome of disease severity|Anti-SARS-CoV-2 titers|Rates of SARS-CoV-2 PCR positivity|Duration of SARS-CoV-2 PCR positivity|Peak quantity levels of SARS-CoV-2 RNA|Cumulative incidence of disease severity","Johns Hopkins University","All","18 Years and older   (Adult, Older Adult)","Phase 2","487","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","IRB00245634","June 10, 2020","December 31, 2022","January 2023","March 27, 2020",,"June 25, 2020","University of Alabama at Birmingham, Birmingham, Alabama, United States|University of California, San Diego, La Jolla, California, United States|University of California, Los Angeles, Los Angeles, California, United States|University of California, Irvine Health, Orange, California, United States|MedStar Georgetown University Hospital, Washington, District of Columbia, United States|Lee Memorial Health System, Fort Myers, Florida, United States|NorthShore University HealthSystem, Evanston, Illinois, United States|Anne Arundel Medical Center, Annapolis, Maryland, United States|JHSPH Center for American Indian Health, Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland, United States|The Johns Hopkins University, Baltimore, Maryland, United States|University of Massachusetts Worcester, Worcester, Massachusetts, United States|University of Rochester, Rochester, New York, United States|University of Cincinnati Medical Center, Cincinnati, Ohio, United States|Lifespan/BrownUniversity (Rhode Island Hospital), Providence, Rhode Island, United States|University of Texas Health Science Center at Houston, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04323800"
615,"NCT04444687","COVID 19: Is SARS-CoV-2 Contaminating Surgical Aerosols From Laparoscopy and Open Abdominal Surgery?","LapCoVIDSurg","Not yet recruiting","No Results Available","COVID","Diagnostic Test: Test for SARS-CoV-2","SARS-COV-2 RNA detection|Viral contamination of peritoneal cavity and fluid|Viral contamination of peritoneal cavity and fluid in open cases|Viral infection of members of the surgical team","University Hospital, Basel, Switzerland","All","18 Years and older   (Adult, Older Adult)",,"20","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","052020","August 2020","December 2020","February 2021","June 23, 2020",,"June 23, 2020",,,"https://ClinicalTrials.gov/show/NCT04444687"
616,"NCT04354701","COVID-19 and Cancer Consortium Registry","CCC19","Recruiting","No Results Available","COVID-19|Invasive Malignancy (Any Type)","Other: Web-based REDCap survey","Web-based REDCap survey","Vanderbilt-Ingram Cancer Center","All","18 Years and older   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","VICC MD 2032","March 17, 2020","December 2021","December 2022","April 21, 2020",,"May 1, 2020","Vanderbilt University Medical Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT04354701"
617,"NCT04422873","The Impact of COVID-19 on Dialysis Users",,"Active, not recruiting","No Results Available","End Stage Renal Disease|Sars-CoV2",,"Qualitative assessment of the effect of COVID-19 restrictions on patients' well-being, quality of life and physical activity and sedentary behaviours|Thematic analysis of qualitative interview exploring patients' experiences of telemedicine during the COVID-19 restrictions in the UK","University of Portsmouth|Portsmouth Hospitals NHS Trust|University of Reading","All","18 Years and older   (Adult, Older Adult)",,"40","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","004","June 3, 2020","September 3, 2020","September 3, 2020","June 9, 2020",,"June 9, 2020","School of Sport Health and Exercise Science, Portsmouth, Outside The United States Or Canada, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04422873"
618,"NCT04362943","Clinical-epidemiological Characterization of COVID-19 Disease in Hospitalized Older Adults","COVID-AGE","Recruiting","No Results Available","COVID-19","Drug: Baricitinib or Anakinra","Mortality|X-ray changes|Disability changes|Ambulation changes|lymphocyte count changes|C-Reactive Protein changes|Ferritin changes|D-Dimer changes","Complejo Hospitalario Universitario de Albacete","All","70 Years and older   (Older Adult)",,"576","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","PAS-BAR-2020-04","April 20, 2020","May 15, 2020","July 31, 2020","April 27, 2020",,"April 27, 2020","Complejo Hospitalario Universitario de Albacete, Albacete, Spain",,"https://ClinicalTrials.gov/show/NCT04362943"
619,"NCT04437706","Network-Targeted Strategies for Efficient Community SARS-CoV-2 (COVID-19) Sampling","Snowball","Not yet recruiting","No Results Available","COVID-19|SARS-CoV 2",,"Active Infection|Past Exposure","Duke University","All","18 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Prospective","Pro00105430","July 1, 2020","June 30, 2021","June 30, 2021","June 18, 2020",,"June 18, 2020","Duke University Medical Center, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04437706"
620,"NCT04411459","Risk Factors for Prolonged Invasive Mechanical Ventilation in COVID-19 Acute Respiratory Distress Syndrome",,"Recruiting","No Results Available","COVID-19|Mechanical Ventilation|Quality of Life|Radiologic Increased Density of Lung|Sedation|Complication of Treatment","Other: Invasive mechanical ventilation","Duration of mechanical ventilation and 28 days ventilator free days|ICU Mortality|30 days survival after ICU discharge|90 days survival after ICU discharge|Quality of life at 90 days after ICU discharge measured with 15D instrument|Radiologic aspects - structured description of CT and RX data","Azienda Usl di Bologna|Lorenzo Gamberini","All","18 Years and older   (Adult, Older Adult)",,"600","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","273/2020/OSS/AUSLBO","February 1, 2020","June 30, 2020","October 30, 2020","June 2, 2020",,"June 2, 2020","Ospedale Santa Maria Annunziata - Anestesia e Rianimazione, Bagno A Ripoli, FI, Italy|A.O. SS. Antonio, Biagio e Cesare Arrigo - Anestesia e Rianimazione, Alessandria, Italy|Anestesia e Rianimazione - Ospedale Civile di Baggiovara, Baggiovara, Italy|Anestesia e Rianimazione - Ospedale di Bentivoglio, Bentivoglio, Italy|Azienda Unità Sanitaria Locale, Bologna, Italy|Anestesia e Rianimazione - Ospedale Bellaria, Bologna, Italy|Anestesia e Rianimazione - Policlinico Universitario S.Orsola - Malpighi, Bologna, Italy|Anestesia e Terapia intensiva dei trapianti addominali e chirurgia epatobiliare - Policlinico Universitario S.Orsola - Malpighi, Bologna, Italy|Anestesia e Terapia Intensiva Polivalente - Policlinico Universitario S.Orsola - Malpighi, Bologna, Italy|Ospedale SS. Trinità - Anestesia e Rianimazione, Borgomanero, Italy|Anestesia e Rianimazione - Ospedale M. Bufalini, Cesena, Italy|Anestesia e Rianimazione - Ospedale degli Infermi, Faenza, Italy|Anestesia e Rianimazione Universitaria - Arcispedale Sant'Anna Ferrara, Ferrara, Italy|Anestesia e Rianimazione - Ospedale Morgagni - Pierantoni, Forlì, Italy|Anestesia e Rianimazione - Ospedale di Imola S.Maria della Scaletta, Imola, Italy|Ospedale Santo Stefano - Anestesia e Rianimazione, Prato, Italy|Anestesia e Rianimazione - Ospedale S. Maria delle Croci, Ravenna, Italy|Anestesia e Rianimazione - Arcispedale Santa Maria Nuova, Reggio Emilia, Italy|Anestesia e Rianimazione - Ospedale di Riccione, Riccione, Italy|Anestesia e Rianimazione - Ospedale Infermi, Rimini, Italy",,"https://ClinicalTrials.gov/show/NCT04411459"
621,"NCT04383587","Seroprevalence of SARS CoV 2 Antibodies in Previously Undiagnosed Healthcare Workers",,"Enrolling by invitation","No Results Available","SARS-CoV 2|COVID-19","Other: Serologic testing","Prevalence of COVID19 Antibody Positivity|Ability to predict immune status/antibody positivity","Mayo Clinic","All","18 Years and older   (Adult, Older Adult)","Not Applicable","300","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","20-004054","May 6, 2020","July 1, 2020","July 31, 2020","May 12, 2020",,"July 2, 2020","Mayo Clinic in Florida, Jacksonville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04383587"
622,"NCT04350931","Application of BCG Vaccine for Immune-prophylaxis Among Egyptian Healthcare Workers During the Pandemic of COVID-19",,"Not yet recruiting","No Results Available","Coronavirus Disease (COVID-19)","Biological: intradermal injection of BCG Vaccine|Other: placebo","incidence of confirmed COVID-19|Effectiveness of BCG vaccine","Ain Shams University","All","18 Years and older   (Adult, Older Adult)","Phase 3","900","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","FMASU P19a/ 2020","April 20, 2020","October 1, 2020","December 1, 2020","April 17, 2020",,"April 20, 2020","Faculty of Medicine Ain Shams University Research Institute- Clinical Research Center, Cairo, Non-US, Egypt",,"https://ClinicalTrials.gov/show/NCT04350931"
623,"NCT04441996","Therapeutic Plasma Exchange for COVID-19-associated Hyperviscosity",,"Not yet recruiting","No Results Available","COVID-19","Biological: Therapeutic plasma exchange (TPE)|Other: Standard of care","Change in Plasma Viscosity|All Cause Mortality|Bleeding and Thromboembolic Complications|Time to Treatment Failure|Duration of ICU Stay|Duration of Hospital Stay|Discharge Disposition|Change in Clinical Status|Change in Body Temperature|Change in Systolic Blood Pressure|Change in Diastolic Blood Pressure|Change in Heart Rate|Change in Respiratory Rate|Change in Ventilator Days|Change in Ventilator Oxygen Percent (FiO2)|Change in Positive End-Expiratory Pressure (PEEP)|Change in Vasopressor Requirements|Change in Need for Treatment from a Registered Respiratory Therapist (RRT)|Change in Sequential Organ Failure Assessment (SOFA) Score|Change in Partial Pressure of Arterial Oxygen (PaO2)/Percentage of Inspired Oxygen (FiO2) Ratio|Change in Ventilatory Ratio|Change in White Blood Count (WBC)|Change in Hemoglobin (Hb)|Change in Hematocrit (Hct)|Change in Platelet Count|Change in Mean Platelet Volume (MVP)|Change in Blood Urea Nitrogen (BUN)|Change in Creatinine|Change in Bilirubin|Change in Total Protein|Change in Albumin|Change in C-reactive Protein (CRP)|Change in Interleukin 6 (IL-6)|Change in Prothrombin Time (PT)|Change in International Normalized Ratio (INR)|Change in Activated Partial Thromboplastin Time (aPTT)|Change in Anti-factor Xa (anti-Xa)|Change in Fibrinogen|Change in D-dimer","Emory University","All","18 Years and older   (Adult, Older Adult)","Phase 4","20","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00000949","July 2020","October 2020","October 2020","June 22, 2020",,"June 22, 2020","Emory Saint Joseph's Hospital, Atlanta, Georgia, United States|Emory University Hospital Midtown, Atlanta, Georgia, United States|Emory University Hospital, Atlanta, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT04441996"
624,"NCT04365959","The Prone Position in Covid-19 Affected Patients","PRON-COVID","Active, not recruiting","No Results Available","Sars-CoV2","Procedure: Prone position","Number of patients in whom the prone position caused an increase in oxygenation|The feasibility of prone position","University of Milano Bicocca","All","18 Years to 75 Years   (Adult, Older Adult)",,"56","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","PRON-COVID","March 20, 2020","April 9, 2020","May 31, 2020","April 28, 2020",,"April 28, 2020","ASST Monza, Monza, MB, Italy",,"https://ClinicalTrials.gov/show/NCT04365959"
625,"NCT04339660","Clinical Research of Human Mesenchymal Stem Cells in the Treatment of COVID-19 Pneumonia",,"Recruiting","No Results Available","COVID-19","Biological: UC-MSCs|Other: Placebo","The immune function (TNF-α 、IL-1β、IL-6、TGF-β、IL-8、PCT、CRP)|Blood oxygen saturation|Rate of mortality within 28-days|Size of lesion area by chest imaging|CD4+ and CD8+ T cells count|Peripheral blood count recovery time|Duration of respiratory symptoms (fever, dry cough, difficulty breathing, etc.)|COVID-19 nucleic acid negative time","Puren Hospital Affiliated to Wuhan University of Science and Technology|Shanghai University|Qingdao Co-orient Watson Biotechnology group co. LTD|Basic Medical Sciences, Chinese Academy of Medical Sciences","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1|Phase 2","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment","Pr20200402","February 1, 2020","June 30, 2020","June 30, 2020","April 9, 2020",,"April 9, 2020","Puren Hospital Affiliated to Wuhan University of Science and Technology, Wuhan, Hubei, China",,"https://ClinicalTrials.gov/show/NCT04339660"
626,"NCT04374123","COVID-19 Serology Screening and Strict Protocol in the Endoscopy Unit",,"Recruiting","No Results Available","COVID","Diagnostic Test: Serological screening for IgG and IgM antibodies against COVID-19","Rate of COVID-19 nosocomial infection among the endoscopy staff at the end of the 30-days study.|Numbers of patients evaluated and treated during the COVID-19 outbreak in the endoscopy unit at the end of the 30-days study.|Technical success rate of endoscopic procedures during the 30-days study period.|IgG and IgM against COVID-19 in the endoscopy staff measured at the end of the study.|Adverse events rate of endoscopic procedures during the 30-days","Instituto Ecuatoriano de Enfermedades Digestivas","All","18 Years to 80 Years   (Adult, Older Adult)",,"80","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","IECED-04-15-covid","April 20, 2020","May 20, 2020","June 1, 2020","May 5, 2020",,"May 5, 2020","Ecuadorian Institute of Digestive Diseases, Guayaquil, Guayas, Ecuador",,"https://ClinicalTrials.gov/show/NCT04374123"
627,"NCT04417335","Reducing COVID-19 Related Hospital Admission in Elderly by BCG Vaccination",,"Active, not recruiting","No Results Available","COVID-19","Biological: BCG vaccine|Biological: Placebo","SARS-CoV-2 related hospital admission|the duration of hospital admission due to documented COVID-19|the cumulative incidence of documented SARS-CoV-2 infection|the cumulative incidence of self-reported acute respiratory symptoms or fever|the cumulative incidence of death due to documented SARS-CoV-2 infection|the cumulative incidence of hospital admission for any reason|the cumulative incidence of Intensive Care Admission due to documented SARS-CoV-2 infection","Radboud University","All","60 Years and older   (Adult, Older Adult)","Phase 4","2014","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","NL73430.091.20|2020-001591-15","April 16, 2020","May 2021","May 2021","June 4, 2020",,"June 4, 2020","Radboud University, Nijmegen, Gelderland, Netherlands|UMC Utrecht, Utrecht, Netherlands",,"https://ClinicalTrials.gov/show/NCT04417335"
628,"NCT04425629","Safety, Tolerability, and Efficacy of Anti-Spike (S) SARS-CoV-2 Monoclonal Antibodies for the Treatment of Ambulatory Adult Patients With COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: REGN10933+REGN10987 combination therapy|Drug: Placebo","Proportion of patients with treatment-emergent serious adverse events (SAEs)|Proportion of patients with infusion-related reactions|Proportion of patients with hypersensitivity reactions|Time-weighted average change from baseline in viral shedding as measured by quantitative reverse transcription quantitative polymerase chain reaction (RT-qPCR) in nasopharyngeal (NP) swab samples|Time-weighted average change from baseline in viral shedding as measured by RT-qPCR in saliva samples|Proportion of patients with at least one COVID-19 related medically attended visit|Time-weighted average change from baseline in viral shedding measured by RT-qPCR in nasal swab samples|Time to negative RT-qPCR in all tested samples with no subsequent positive RT-qPCR in any tested samples|Change from baseline in Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) viral shedding as measured by RT-qPCR in NP swabs|Change from baseline in SARS-CoV-2 viral shedding as measured by RT-qPCR in saliva samples|Change from baseline in SARS-CoV-2 viral shedding as measured by RT-qPCR in nasal swabs|Proportion of patients with at least two COVID-19 related medically attended visits|Total number of COVID-19 related medically-attended visits|Proportion of patients admitted to a hospital due to COVID-19|Proportion of patients admitted to an intensive care unit (ICU) due to COVID-19|Proportion of patients at least 1 outpatient or telemedicine visit due to COVID-19|Proportion of patients requiring mechanical ventilation due to COVID-19|Serum concentration of REGN10933 over time|Serum concentration of REGN10987 over time|Assessment of pharmacokinetic (PK) parameter: maximum serum concentration observed (Cmax) of REGN10933|Assessment of PK parameter: maximum serum concentration observed (Cmax) of REGN10987|Assessment of PK parameter: Cmax-to-dose ratio (Cmax/dose) of REGN10933|Assessment of PK parameter: Cmax-to-dose ratio (Cmax/dose) of REGN10987|Assessment of PK parameter: Time to Cmax (tmax) for REGN10933|Assessment of PK parameter: Time to Cmax (tmax) for REGN10987|Assessment of PK parameter: Area Under the Curve (AUC) computed from time zero to the time of the last positive concentration (AUClast) for REGN10933|Assessment of PK parameter: AUC computed from time zero to the time of the last positive concentration (AUClast) for REGN10987|Incidence of anti-drug antibodies (ADA) to REGN10933|Incidence of anti-drug antibodies (ADA) to REGN10987|Number of days of hospitalization due to COVID-19|Number of deaths due to any cause (All-Cause Mortality)","Regeneron Pharmaceuticals","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","1054","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","R10933-10987-COV-2067","June 16, 2020","November 21, 2020","November 21, 2020","June 11, 2020",,"June 25, 2020","Regeneron Study Site, Aurora, Colorado, United States|Regeneron Study Site, Washington, District of Columbia, United States|Regeneron Study Site, Miami, Florida, United States|Regeneron Study Site, Bronx, New York, United States|Regeneron Study Site, Philadelphia, Pennsylvania, United States|Regeneron Study Site, Dallas, Texas, United States|Regeneron Study Site, San Antonio, Texas, United States|Regeneron Study Site, Tyler, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04425629"
629,"NCT04431466","A Study to Compare the Efficacy and Safety of Different Doses of Ivermectin for COVID-19","IFORS","Not yet recruiting","No Results Available","Coronavirus Infection","Drug: Ivermectin|Other: Standard treatment for COVID-19","Time to undetectable SARS-CoV-2 viral load in the nasopharyngeal swab.|Viral load variation in the nasopharyngeal swab.|Variation of serum lymphocyte counts.|Variation of serum AST/ALT values.|Variation of serum D-dimer values.|Variation of serum CPK values.|Variation of serum LDH values.|Time to clinical improvement","Universidade Federal de Sao Carlos","All","18 Years and older   (Adult, Older Adult)","Phase 2","64","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IFORS","July 1, 2020","December 1, 2020","July 1, 2021","June 16, 2020",,"June 16, 2020","Hospital Univeristário da Universidade Federal de São Carlos (HU-UFSCar), São Carlos, São Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT04431466"
